intent_name,examples,label
reserva_matricula__procedimiento,"Hola, este ciclo no podre matricularme por motivos de salud cual seria el procedimiento para poder reservar la matricula",29
reserva_matricula__procedimiento,que tengo que hacer para reservar mi matricula,29
formato_solicitud,como debo redactar la solicitud,4
constancia_de_estudios__procedimiento,voy a postular a una beca quiero una constancia de estudios,42
constancia_de_notas__procedimiento,"Que tal, acabo de realizar mi pago para obtener una constancia de notas pero no sé qué más hacer?",39
retiro_total__procedimiento,"Quiero hacer el retiro total, ¿cómo puedo hacerlo?",28
retiro_total__motivos_procede,cual motivo puedo justificar para hacer un retiro total?,26
retiro_parcial__cursos_repetidos,puedo solicitar el retiro de un curso que he repetido el ciclo anterior?,45
reincorporacion__fechas,una consulta si se me paso la fecha de reincorporacion que debo hacer,33
constancia_matricula__solicitud_procedimiento,"Buenas tardes una consulta, ¿cómo puedo obtener una constancia de matricula?",36
retiro_parcial__fechas,"Buenos días, cuándo es la fecha para el retiro parcial?",20
retiro_total__fechas,cuando puedo hacer un retiro total,24
formato_solicitud,la solicitud debe estar dirigida al decano?,4
perdida_turno_matricula,"Hola, no tuve internet y no pude matricularme que debo hacer",16
perdida_turno_matricula,tuve algunes problemas de red y no pude matricular el sistema ahora ya no me deja que hago,16
confirmar_requerir_mas_ayuda,otra duda,3
constancia_de_estudios__formato_solicitud,que informacion debo colocar en la solicitud para un constancia de estudios?,41
retiro_parcial__cursos_repetidos,¿Es posible retirarme de un curso que haya repetido?,45
retiro_parcial__unico_curso,si solo llevo un curso es posible retirarme?,22
solicitud_correo_institucional_procedimiento,a que oficina le solicito mi correo uni,44
denegar_mas_ayuda,"No eso seria todo, muchas gracias",2
pago_autoseguro_procedimiento,el autoseguro se paga en caja uni?,15
matricula__procedimiento_alumno_ingresante,soy ingresante de la carrera de ciencias de la computacion como me inscribo este ciclo,10
constancia_de_notas__formato_solicitud,que informacion debo colocar en mi solicitud de constancia de notas?,40
constancia_de_estudios__procedimiento,¿Cómo solicitar una constancia de estudios?,42
retiro_parcial__procedimiento,"BUENOS DIAS, PODRÍA INDICARME EL procedimiento PARA REALIZAR EL RETIRO PARCIAL PARA EL PRESENTE CICLO?",21
retiro_parcial__unico_curso,"orce no me permite retirarme del unico curso que estoy matriculado, como puedo retirarme?",22
cursos_horarios,"que tal, quiero saber el horario de un curso",19
reincorporacion__procedimiento,el ciclo pasado no me matricula quiero saber si puedo reincorporarme este ciclo,32
matricula__cronograma,soy ingresante quiero saber cuando es la matricula,12
procedimiento_tramites_fechas,todavia puedo presentarle,5
matricula__procedimiento_alumno_ingresante,que pagos debo hacer para la matricula soy ingresante?,10
matricula_rezagada__procedimiento,"Hola, cual es procedimiento para matricularme por rezagada",17
constancia_de_notas__formato_solicitud,me puede facilitar un modelo para la solicitud de constancia de notas si la hubiera,40
matricula__horarios,donde encuentro mi horario de matricula?,13
constancia_de_estudios__procedimiento,"Hola, una consulta estoy necesitando una constancia de estudios como puedo tramitarla",42
constancia_matricula__formato_solicitud,existe alguna formato para la solicitud de constancia de matricula,38
matricula__procedimiento_alumno_regular,soy alumno regular aparte de pagar el autoseguro que mas debo pagar o tramitar para la matricula?,9
pago_autoseguro_procedimiento,"Buenas dias, como hago para pagar el autoseguro",15
retiro_total__procedimiento,¿Cuál es el procedimiento para el retiro total?,28
reincorporacion__fechas,la siguente semana es la matricula puedo solicitar mi reincorpacion?,33
retiro_total__procedimiento,"Quiero hacer el retiro total de mis cursos del presente ciclo, quiero saber que documentos se necesitan presentar y que me asegure que no voy a perder mi vacante y que pueda retomar de nuevo las clases en el siguiente ciclo.",28
constancia_matricula__solicitud_procedimiento,como puedo tramitar una constancia de matricula de este ciclo,36
pago_autoseguro_procedimiento,cual es el proceso para pagar el autoseguro,15
despedida,Adios aerito,0
saludo,Hola Aerito,1
perdida_turno_matricula,"Hola, no pude entrar en mi turno de matrícula, que puedo hacer",16
retiro_parcial__procedimiento,"Hola, deseo realizar el retiro parcial de un curso como procedo",21
cambio_seccion,necesito hacer un cambio de seccion me puedes ayudar,18
formato_solicitud,necesito un modelo para esa solicitud,4
cursos_horarios,cual es el horario del curso de algoritmos y estructuras de datos?,19
constancia_de_estudios__procedimiento,quisiera una constancia de estudios como la tramito,42
matricula_rezagada__procedimiento,cuales son los requisitos para la matricula rezagada,17
confirmar_requerir_mas_ayuda,tengo otra consulta,3
retiro_parcial__maximo_cursos,cual es el maximo de cursos que uno puede retirarse?,23
pago_autoseguro_procedimiento,"Buenas, cual es el procedimiento para pagar el autoseguro",15
retiro_total__formato_solicitud,una duda porfavor existe algun modelo o formato para la solicitud de retiro total,27
retiro_parcial__procedimiento,"mande un correo a estadística pidiendo que me retire de un curso, pero aún figura en mi intranet",21
reincorporacion__fechas,cuando debo enviar mi solictud para mi reincorporacion para el siguiente periodo academico,33
pago_autoseguro_procedimiento,quiero pagar el autoseguro que debo hacer,15
confirmar_requerir_mas_ayuda,tengo otra duda,3
matricula_rezagada__procedimiento,disculpa cual es procedimiento para poder matricularme por rezagado,17
matricula__procedimiento_alumno_regular,que pagos debo hacer para la matricula si soy alumno regular,9
pago_autoseguro_procedimiento,cual es el metodo para pagar el autoseguro,15
saludo,hola que tal Aerito,1
reserva_matricula__fechas,esta semana todavia puedo solicitar mi reserva de matricula?,30
pago_autoseguro__fechas,"Si recien me acorde que debo pagar el autoseguro antes de la matricula, hasta cuando puedo pagarlo",14
reincorporacion__procedimiento,¿Cuál es el procedimiento para solicitar reincorporación?,32
reserva_matricula__procedimiento,"Buenas tardes, quiero postergar mi matricula como puedo hacer ese tramite",29
pago_autoseguro_procedimiento,"Hola, como pago el autoseguro",15
retiro_parcial__unico_curso,"Hola, puedo hacer un retiro parcial si solo estoy llevando un curso",22
constancia_de_estudios__formato_solicitud,puede enviarme un modelo para la solicitud de constancia de estudios,41
solicitud_correo_institucional_procedimiento,donde puedo tramitar mi correo institucional,44
pago_autoseguro__fechas,"hoy pague el autoseguro, soy rezagado?",14
carnet_universitario__solicitud,cuanto debo pagar para obtener mi carnet de medio pasaje,11
constancia_matricula__pago,para el tramite de constancia de matricula se debe paga algo?,37
formato_solicitud,que formato debo seguir para redactar la solicitud,4
formato_solicitud,que formato debe tener la solicitud,4
pago_autoseguro__fechas,"Buenos dias, quiero saber si no pague a tiempo el autoseguro me voy a rezagada la matricula",14
matricula_rezagada__procedimiento,"Hola, disculpe como realiza la matricula rezagada",17
pago_autoseguro_procedimiento,por que banco que paga el autoseguro,15
perdida_turno_matricula,"Buen día, perdí mi horario de matrícula, que hago",16
retiro_total__motivos_procede,que motivos de fuerza mayor permiten el retiro total,26
retiro_total__fechas,¿Qué días se hace el trámite del retiro total?,24
reserva_matricula__procedimiento,"Buenos días, necesito información para solicitar reserva de matrícula?",29
cambio_seccion,Buenos dias como realizo un cambio de horario de un curso,18
confirmar_requerir_mas_ayuda,si una consulta mas,3
constancia_matricula__formato_solicitud,la solicitud de constancia de matricula tambien es dirigida al decano?,38
retiro_total__motivos_procede,¿Cuáles son los motivos que justifican el retiro total?,26
matricula__procedimiento_alumno_ingresante,como puedo matricularme si soy nuevo alumno,10
retiro_total__motivos_procede,el covid es un motivo para poder hacer un retiro total,26
carnet_universitario__solicitud,en que banco para para el carnet universitario,11
reserva_matricula__formato_solicitud,puedes decirme donde encuentro un modelo de solicitud para la reserva de matricula ?,31
matricula__procedimiento_alumno_regular,tengo que hacer algun tramite para matricularme en el segundo ciclo,9
confirmar_requerir_mas_ayuda,si una mas,3
horario_atencion_aera,Aera atiende los sabados?,43
retiro_total__procedimiento,"Buenos días, que documentos debo presentar para el proceso de retiro total",28
retiro_parcial__fechas,el retiro parcial se puede pedir en la primera semana?,20
constancia_de_estudios__procedimiento,"hola, me podrias mandar el procedimiento para tramitar una constacia de estudios",42
horario_atencion_aera,hasta que hora atienden en la oficina de estadistica?,43
denegar_mas_ayuda,"eso es todo, gracias",2
retiro_parcial__procedimiento,como procedo para hacer el retiro parcial ?,21
matricula__cronograma,quiero saber en que fechas se hara la matricula,12
retiro_parcial__procedimiento,cual es el procedimiento del retiro parcial,21
cambio_seccion,Buenos dias dime como realizar un cambio de horario de un curso,18
retiro_total__motivos_procede,Deseo realizar un retiro total y quiero saber por que motivos procede,26
perdida_turno_matricula,si perdi mi turno de matricula paso a rezagado ?,16
retiro_parcial__procedimiento,"HOla, mande un correo a estadística pidiendo que me retire de un curso, pero aún figura en mi intranet",21
pago_autoseguro__fechas,Hola creo que no pague a tiempo el autoseguro que debo hacer,14
retiro_parcial__procedimiento,"Hola que tal, que procedimiento puedo seguir para realizar el retiro parcial?",21
reserva_matricula__procedimiento,quisiera hacer la reserva de matricula cual es el procedimiento,29
constancia_de_notas__formato_solicitud,¿Hay algun modelo para la solicitud de constancia de notas?,40
matricula_procedimiento,como habilito mi matricula,8
pago_autoseguro__fechas,"Hola, si no pago a tiempo el autoseguro me voy a matricula rezagada ?",14
retiro_parcial__fechas,puedo solicitar el retiro parcial en la quinta semana?,20
matricula__procedimiento_alumno_regular,cual es procedimiento para la matricula siendo alumno regular,9
constancia_de_notas__formato_solicitud,donde podria encontar un modelo de solicitud para la constacia de notas,40
pago_autoseguro__fechas,Si hasta que dia se puede pagar el autoseguro,14
confirmar_requerir_mas_ayuda,si una duda mas,3
reserva_matricula__procedimiento,Buenos dias que hago para hacer la reserva de matricula,29
reincorporacion__formato_solicitud,debo ponde mi dni en la solcitud de reincorporacion?,35
matricula__horarios,cuales son los horarios de la matricula?,13
constancia_de_notas__procedimiento,"Hola, quiero saber como tramitar una constancia de notas en ingles y español",39
solicitud_correo_institucional_procedimiento,quero pedir mi correo uni,44
reserva_matricula__formato_solicitud,puedes decirme si hay algun modelo para la solicitud de reserva de matricula?,31
reincorporacion__fechas,entonces que pasa si me paso de la fecha limite para la reincorporacion,33
matricula_rezagada__procedimiento,no pague mi autoseguro a tiempo y ahora me mandaraon a rezago como proceso,17
formato_solicitud,en la pagina puedo encontrar un modelo para esta solicitud,4
retiro_parcial__fechas,"Buenos dias, quisiera saber cuando vence el plazo de retiro parcial",20
costo_tramite,¿Cuanto es el costo por el tramite?,6
constancia_de_estudios__formato_solicitud,la solicitud para la constancia de estudios debo dirigirla al decano?,41
pago_autoseguro__fechas,¿Que sucede si demore en realizar el pago de autoseguro?,14
retiro_total__requisitos_documentos_justificacion,para solicitar el retiro total debo presentar algun documento que justifique mis motivos?,25
matricula__cronograma,el cronograma de la matricula ya salio?,12
constancia_matricula__solicitud_procedimiento,"Buenas dias, un consulta como puedo tramitar una constancia de matricula ?",36
despedida,nos vemos pronto,0
matricula__procedimiento_alumno_ingresante,"soy ingresante de la carrera de matematicas, me puede indicar cual es procedimiento de matricula",10
reincorporacion__formato_solicitud,donde puedo encontrar un modelo para la solicitud de reincorporacion?,35
retiro_parcial__unico_curso,el retiro parcial tambien se aplica si solo llevo un curso,22
retiro_total__procedimiento,"Buenas, quiero hacer el retiro total, ¿podrian ayudarme?",28
solicitud_correo_institucional_procedimiento,aun no tengo mi correo uni en donde lo solicito,44
pago_autoseguro__fechas,si queria saber si no lo pago a tiempo que debo hacer,14
reincorporacion__procedimiento,"Buenas tardes,le envio este mensaje porque quiero información, el ciclo pasado no pude matricularme pero tampoco hice el trámite de reserva de matricula, quisiera saber si aún puedo realizar el trámite de reincorporación para matricularme o en todo caso como podria reservar mi matricula. Por favor agradecería como arreglar este asunto, gracias.",32
matricula__procedimiento_alumno_ingresante,cual es el proceso de matricula para un nuevo alumno,10
formato_solicitud,donde puedo encontrar un modelo,4
retiro_parcial__unico_curso,una consulta puedo realizar el retiro parcial si solo llevo un curso,22
retiro_parcial__unico_curso,una duda como puedo realizar el retiro de un curso si solo estoy llevando ese curso,22
matricula__procedimiento_alumno_regular,como alumno regular debo pagar algo mas a parte del autoseguro?,9
retiro_parcial__maximo_cursos,De cuántos cursos puedo solicitar retiro parcial?,23
pago_autoseguro__fechas,hasta que dias puedo pagar el autoseguro?,14
reserva_matricula__formato_solicitud,hay algun formato para la solicitud de reserva de matricula ?,31
retiro_parcial__cursos_repetidos,Puedo retirarme de un curso que haya repetido el ciclo anterior ?,45
procedimiento_tramites_fechas,esta semana ya puedo tramitarlo,5
constancia_matricula__pago,Se debe pagar algo para el tramite de la constancia de matricula,37
pago_autoseguro_procedimiento,puedo pagar el autoseguro en el bcp?,15
carnet_universitario__solicitud,a que oficina le escribo para obtener mi carnet de universidad,11
saludo,oye aerito,1
denegar_mas_ayuda,No muchas gracias,2
constancia_de_estudios__procedimiento,"Buenas tardes, ¿cuál es el procedimiento para obtener una constancia de estudios?",42
denegar_mas_ayuda,ninguna duda mas,2
retiro_parcial__fechas,hasta cuando hacer el retiro de un curso ?,20
reincorporacion__formato_solicitud,podria enviarme un modelo para la solicitud de reincorporacion ?,35
carnet_universitario__solicitud,como tramito mi carnet universitario,11
matricula__procedimiento_alumno_regular,es mi segundo ciclo que mas pagos debo hacer aparte del autoseguro ?,9
pago_autoseguro_procedimiento,el pago de autoseguro se hace en el banco BCP o como,15
confirmar_requerir_mas_ayuda,si tengo otra consulta mas,3
saludo,Buenos noches Aerito,1
matricula_procedimiento,que proceso debo seguir para la matricularme,8
reincorporacion__procedimiento,"Hola Aerito, este ciclo quisiera reincorporarme cual es procedimiento ?",32
constancia_matricula__pago,cuanto es el monto que se paga por la constancia de matricula,37
cambio_seccion,Buenas tardes amigo puedes decirme como hacer un cambio de seccion,18
costo_tramite,cuanto se tiene pagar para dicho tramite,6
constancia_de_estudios__procedimiento,"Buenas noches, quiero saber como tramitar una constancia de estudios",42
matricula__procedimiento_alumno_ingresante,como puedo matricular si es mi primer ciclo,10
horario_atencion_aera,Puede decirme cual es el horario de atencion ?,43
retiro_parcial__unico_curso,como hago el retiro de un curso si solo llevo ese,22
retiro_total__motivos_procede,El covid es un motivo para retiro total?,26
saludo,hola amigo,1
pago_fechas,debo pagarlo hasta cuando,7
cambio_seccion,tengo un problema con los horarios de un curso quisiera solicitar un cambio de seccion a donde lo pido?,18
saludo,Hi,1
pago_fechas,hasta cuando tengo para pagarlo,7
pago_autoseguro__fechas,"Tengo una consulta sobre la matrícula dado que el día de hoy realize el pago de autoseguro, puedo matricularme de forma normal o paso a rezagado",14
cursos_horarios,"Buenos tardes, dime donde puedo encontrar los horarios de los cursos",19
procedimiento_tramites_fechas,¿Cuando se presenta la solicitud?,5
matricula__procedimiento_alumno_ingresante,"hola, ingrese en el anterior examen de admision quiero saber si la matricula tiene algun costo y si debo hacer algun tramite mas",10
matricula__horarios,cuando es mi hora de matricula,13
matricula__procedimiento_alumno_regular,es mi segundo ciclo hay algo que debo pagar a parte del autoseguro para la matricula,9
retiro_parcial__fechas,"Hola, ¿cuándo son las fechas para el retiro parcial?",20
reserva_matricula__fechas,"la matricula ya va ser la siguiente semana pero no podre matricularme, aun puedo enviar mi solicitud de reserva de matricula",30
confirmar_requerir_mas_ayuda,hay otra constula que tengo,3
constancia_de_estudios__formato_solicitud,donde un encontra un modelo o formato para la solicitud de constancia de estudios,41
perdida_turno_matricula,acabo de perder mi turno de matricula como me matriculo ahora,16
perdida_turno_matricula,"Hola, he tenido problemas de conexion y no llegue a matricularme que debo hacer",16
constancia_matricula__pago,cuanto cuesta la constancia de matricula?,37
retiro_total__procedimiento,¿Cuáles son los pasos para solicitar el retiro total?,28
pago_autoseguro__fechas,"Buenos dias, que pasa si no pago a tiempo el autoseguro",14
horario_atencion_aera,que dias atiende estadistica?,43
constancia_matricula__formato_solicitud,"una consulta, hay algun modelo para la solicitud de constancia de matricula",38
retiro_total__requisitos_documentos_justificacion,el retiro total debe ser justificado con documentos?,25
carnet_universitario__solicitud,donde pago para mi carnet universitario,11
retiro_parcial__fechas,"Hola, he querido retirarme de un curso pero me parece que un no esta habilitado cuando se habilitara el retiro parcial?",20
matricula_procedimiento,debo hacer alguna tramite para poder habilitar mi matricula?,8
matricula_rezagada__procedimiento,"Buenas, quiero saber como tramitar mi matricula rezagada",17
matricula__cronograma,cuando se realizar la matricula el proximo ciclo,12
reincorporacion__fechas,tengo una consulta desde que fecha ya puedo iniciar el tramite para mi reicorporacion en el siguiente ciclo,33
constancia_de_estudios__procedimiento,"Buenos dias, una duda como puedo tramitar una constancia de estudios",42
cursos_horarios,cuando salen los horarios de los cursos?,19
matricula_procedimiento,hay algo que debo pagar para la matricula,8
reserva_matricula__procedimiento,mi consulta es como realizar la reserva de mi matricula,29
formato_solicitud,porfavor enviame tambien el modelo para la solicitud,4
retiro_parcial__procedimiento,cual es el procedimiento para realizar un retiro de un curso?,21
cambio_seccion,¿Cuál es procedimiento para hacer un cambio de sección?,18
reincorporacion__procedimiento,"Buenas tardes Aerito, el ciclo pasado no puede matricularme quisiera saber si aún puedo realizar el trámte de reincorporación.",32
procedimiento_tramites_fechas,cuando se habilita para realizar el tramite,5
matricula__cronograma,cual es la fecha de la matricula del siguiente ciclo?,12
denegar_mas_ayuda,eso fue todo gracias,2
reincorporacion__formato_solicitud,no quiero saber cual es el formato para las solicitud de reincorporacion,35
cambio_seccion,"tengo problemas con mi horario actual del curso de Fisica I en la seccion B, quiero hacer el cambio a la seccion A",18
cursos_horarios,el curso de programacion orientada a objetos se dicta el lunes?,19
matricula__horarios,me podria decir como saber mi horario de matricula.,13
reincorporacion__costo,¿Cuánto se pago por reincorporación?,34
constancia_matricula__solicitud_procedimiento,una duda a quien puedo solicitar una constancia de matricula,36
perdida_turno_matricula,el sistema no me deja matricularme y ya paso mi turno que debo hacer,16
procedimiento_tramites_fechas,hay alguna fecha limite para enviar esa solicitud,5
reserva_matricula__formato_solicitud,¿Cuál es el modelo de solicitud para la reserva de matricula?,31
cursos_horarios,quiero saber el horario del curso de algebra lineal para fisicos,19
constancia_matricula__solicitud_procedimiento,cual es el procedemiento para tramitar una constancia de matricula,36
reincorporacion__costo,cuanto es el costo por el tramite de reincoporacion?,34
matricula__horarios,quiero saber mi turno para la matricula?,13
reincorporacion__fechas,en que fecha puedo tramitar mi reincorporacion?,33
constancia_matricula__pago,cuanto es el costo del tramite de matricula?,37
procedimiento_tramites_fechas,todavia puedo realizar este tramite,5
constancia_de_estudios__procedimiento,la constnacia de estudios la solicito a la oficina de estadisticas?,42
pago_autoseguro__fechas,Todavía puedo pagar el autoseguro para matricularme,14
reserva_matricula__procedimiento,"Le escribo porque necesito información, el semestre que viene estaré haciendo un intercambio estudiantil por lo que quisiera saber si necesito hacer algo en la ORCE ya que este semestre no podré matricularé en la UNI. Mi escuela ya sabe que haré intercambio y ya les envié el sílabo de los cursos pero aún no tengo respuesta.",29
carnet_universitario__solicitud,en donde pago para tramitar mi carnet de universidad,11
costo_tramite,tiene algun costo?,6
retiro_parcial__procedimiento,"HOla amigo, puede decirme como realizar un retiro parcial ?",21
solicitud_correo_institucional_procedimiento,como solicito mi correo institucional,44
formato_solicitud,necesito un modelo para la solicitud que debo enviar a mesa de partes,4
retiro_total__formato_solicitud,¿Cuál es el modelo para la solicitud de retiro total?,27
pago_autoseguro__fechas,cuando se paga el autoseguro,14
reincorporacion__costo,una consulta se debe pagar algo para el tramite de reincoporacion ?,34
retiro_parcial__unico_curso,en el caso de solo llevar un curso y quiero retirarme seria retiro total o parcial?,22
matricula__horarios,una consulta como puedo saber a que hora me toca mi matricula?,13
retiro_total__motivos_procede,¿Cuáles son los motivos para acceder al retiro total?,26
pago_autoseguro__fechas,creo que no pague a tiempo el autoseguro que debo hacer?,14
retiro_parcial__procedimiento,¿Dónde encuentro un modelo de solicitud para el retiro parcial?,21
reserva_matricula__formato_solicitud,si hay algun formato o modelo para la solicitud de reserva de matricula,31
despedida,"ok, adios",0
constancia_matricula__pago,cuanto tengo que pagar para una constancia de matricula?,37
matricula_rezagada__procedimiento,como procedo con la matricula rezagada,17
costo_tramite,el tramite no tiene costo ?,6
retiro_total__motivos_procede,cual seria un motivo para hacer un retiro total,26
matricula__procedimiento_alumno_ingresante,soy ingresante pero todavia no me han dicho como matricularme que debo hacer,10
pago_autoseguro__fechas,me confundi en las fechas de matricula y recien acado pagar el autoseguro faltando un dia para la matricula. Entonces voy a rezagado?,14
reserva_matricula__formato_solicitud,si tambien puedes decirme si hay algun formato para la solicitud de reserva de matricula ?,31
retiro_parcial__fechas,cuando es el retiro parcial,20
formato_solicitud,hay algun formato o modelo,4
constancia_de_notas__formato_solicitud,existe algun modelo o formato para esta solicitud de constancia de notas,40
denegar_mas_ayuda,nada mas,2
matricula__cronograma,"Buenos días, deseo que saber cuando comienza la matrícula",12
retiro_total__requisitos_documentos_justificacion,se tiene que justificar el retiro total?,25
cambio_seccion,quiero cambiarme de seccion el curso de quimica general se me hace imposible venir a esa hora,18
matricula__cronograma,una consulta ya se publico el cronograma de la matricula?,12
pago_autoseguro__fechas,dime cuando pagar el autoseguro,14
costo_tramite,es gratis o tiene algun costo este tramite?,6
